title,score,ratings,installs,gini_coeff,popularity_index
High Octane TV,1.7333333,756,245233,0.5607427055702917,3.6750693455544856
Easy Trade7-Trade for all time,1.7375886,6990,1118951,0.6402640264026402,4.050542786727775
Remote Control for ALL TV,2.3333333,40,24618,0.7,3.0720800993896695
All HD Video Downloader,3.0,47,151276,0.4,3.6904016518724148
PTV Sports,3.0384614,235,92051,0.5130434782608696,3.5750286221876983
McDelivery Pakistan,3.0603337,8100,1017919,0.5103039288361749,4.3475484686997765
Borwap,3.1382115,20265,19305685,0.5086625086625086,5.248482263710173
ExpertOption Lite,3.138614,2452,2359627,0.3724702990577632,4.58486419069986
Yango Pro. Taxi & bike driver,3.1517856,9963,1453180,0.5494292352762905,4.476737341044322
Vehicles Paint By Number Art,3.1666667,264,390764,0.5669421487603306,4.0238329154285575
Hothit,3.2149532,3877,6065398,0.5117662405426558,4.893287754749082
Preset & Filter For Lightroom,3.2150538,3425,372566,0.5725345622119815,4.0702534047599155
FirstPay,3.2176871,7362,1998106,0.4508290296276162,4.571133254222629
Wild Cash | Quiz to Earn,3.22,65942,6994275,0.5130359449806217,4.986526303243927
Angry Lion Simulator Lion Game,3.2222223,49,101592,0.625,3.5957918298368603
Hairs Makeup Artist Salon,3.235294,4262,8337025,0.37660649819494585,4.9817577541511655
Domino's Pakistan,3.2462687,1447,490833,0.45488565488565486,4.130128789284307
Kdemy - Template,3.2857144,161,46679,0.34968553459119495,3.3849620459548837
KFC Pakistan,3.2921348,5587,1975627,0.5088825214899714,4.581739093039476
Eid Mubarak Frame With Name DP,3.304762,206,108816,0.5587939698492463,3.6569703160868783
Jobseeker,3.317073,723,1101830,0.4474777448071216,4.3646868788291515
OPTP - Official Delivery App,3.33,438,176055,0.5694444444444444,3.822302618401798
Cricket Fly - Sports Game,3.3384616,2720,1220457,0.5179506081828235,4.433634094617674
Xray Scanner : Body Scanner,3.368421,647,418201,0.4736842105263159,4.084031635737258
Snow Race!!,3.376,39167,59240159,0.41674856674856675,5.630983340152889
My Ufone – Manage your account,3.3943129,45361,7872987,0.49407562562010804,5.05307121543158
Karsaaz - At-home Services,3.43,935,98285,0.6131041890440386,3.6920732873014916
Back to the Future™,3.4318182,389,643341,0.2904392764857881,4.187570040330246
Stormshot: Skull Isle Odyssey,3.4356437,129036,9980184,0.49505977332712314,5.155657800954615
All Video Downloader HD App,3.4653466,897,505445,0.5339428571428572,4.169479338434495
Telegram,3.483437,12542527,1569833692,0.5051079526282857,6.764813803827265
Bugatti Chiron Car Wallpapers,3.5,55,100975,0.5,3.6160146583262462
GO VPN - Secure&Fast,3.5,128,673925,0.5448818897637795,4.209742851147695
Wallpaper 4K HD,3.525,13575,1000407,0.44195217032761075,4.433767492976391
GTA 5 - Craft Theft autos Mcpe,3.5294118,935,643212,0.548180815876516,4.254359266300001
