title,score,ratings,maxInstalls,offersIAP,contentRating,adSupported,genre,n_stars_1,n_stars_2,n_stars_3,n_stars_4,n_stars_5,allow Wi-Fi Multicast reception,draw over other apps,directly call phone numbers,view network connections,measure app storage space,reroute outgoing calls,close other apps,access USB storage filesystem,add or modify calendar events and send email to guests without owners' knowledge,read your contacts,disable your screen lock,view Wi-Fi connections,change/intercept network settings and traffic,run at startup,add words to user-defined dictionary,change your audio settings,read Google service configuration,delete all app cache data,precise location (GPS and network-based),read terms you added to the dictionary,full network access,connect and disconnect from Wi-Fi,toggle sync on and off,control Near Field Communication,send SMS messages,send sticky broadcast,make app always run,pair with Bluetooth devices,take pictures and videos,body sensors (like heart rate monitors),change system display settings,record audio,set wallpaper,read sync settings,access extra location provider commands,mock location sources for testing,Google Play license check,read phone status and identity,modify your contacts,expand/collapse status bar,access Bluetooth settings,erase USB storage,change network connectivity,control vibration,create accounts and set passwords,read calendar events plus confidential information,enable app debugging,prevent device from sleeping,read battery statistics,set an alarm,modify system settings,read sensitive log data,control flashlight,modify phone state,add or remove accounts,approximate location (network-based),use/find accounts on the device,read/edit your text messages (SMS or MMS),receive text messages (SMS/MMS),read/write web bookmarks and history,retrieve/reorder running apps,read/write call log,read/modify/delete the contents of your USB storage
High Octane TV,1.7333333,756,245233,0,Rated for 3+,1,Auto & Vehicles,478,151,50,0,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easy Trade7-Trade for all time,1.7375886,6990,1118951,0,Rated for 3+,0,Finance,5350,243,243,145,988,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Remote Control for ALL TV,2.3333333,40,24618,0,Rated for 3+,1,House & Home,24,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All HD Video Downloader,3.0,47,151276,0,Rated for 3+,1,Video Players & Editors,15,0,15,0,15,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PTV Sports,3.0384614,235,92051,0,Rated for 3+,1,Sports,103,6,6,10,105,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
McDelivery Pakistan,3.0603337,8100,1017919,0,Rated for 3+,0,Food & Drink,3555,186,279,363,3711,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Borwap,3.1382115,20265,19305685,0,Rated for 3+,1,Tools,8388,483,806,988,9537,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExpertOption Lite,3.138614,2452,2359627,0,Rated for 3+,0,Finance,822,145,314,193,967,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yango Pro. Taxi & bike driver,3.1517856,9963,1453180,0,Rated for 3+,0,Maps & Navigation,4164,81,612,163,4879,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1
Vehicles Paint By Number Art,3.1666667,264,390764,1,Rated for 3+,1,Entertainment,101,0,20,0,121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hothit,3.2149532,3877,6065398,0,Rated for 3+,1,Tools,1438,205,178,95,1917,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Preset & Filter For Lightroom,3.2150538,3425,372566,0,Rated for 3+,1,Photography,1347,0,56,168,1684,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FirstPay,3.2176871,7362,1998106,0,Rated for 3+,0,Finance,2603,500,390,420,3445,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Wild Cash | Quiz to Earn,3.22,65942,6994275,0,Rated for 3+,1,Trivia,24328,3921,3268,1307,32971,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Angry Lion Simulator Lion Game,3.2222223,49,101592,1,Rated for 12+,1,Weather,21,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Hairs Makeup Artist Salon,3.235294,4262,8337025,0,Rated for 3+,1,Entertainment,1222,489,314,314,1816,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pakistan,3.2462687,1447,490833,0,Rated for 3+,0,Food & Drink,517,53,86,129,658,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Kdemy - Template,3.2857144,161,46679,0,Rated for 3+,0,Libraries & Demo,34,34,11,11,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KFC Pakistan,3.2921348,5587,1975627,0,Rated for 3+,0,Food & Drink,2050,198,251,240,2845,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Eid Mubarak Frame With Name DP,3.304762,206,108816,0,Rated for 3+,1,Events,75,3,12,3,106,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jobseeker,3.317073,723,1101830,1,Rated for 3+,0,Business,199,76,15,61,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPTP - Official Delivery App,3.33,438,176055,0,Rated for 3+,0,Food & Drink,165,12,4,16,235,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cricket Fly - Sports Game,3.3384616,2720,1220457,1,Rated for 3+,0,Sports,975,83,110,138,1407,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xray Scanner : Body Scanner,3.368421,647,418201,0,Rated for 3+,1,Medical,204,51,17,51,323,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow Race!!,3.376,39167,59240159,1,Rated for 3+,1,Action,11256,3423,2498,3114,18781,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Ufone – Manage your account,3.3943129,45361,7872987,0,Rated for 3+,0,Communication,14972,1934,2288,2558,23603,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Karsaaz - At-home Services,3.43,935,98285,0,Rated for 12+,0,House & Home,354,0,9,27,541,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Back to the Future™,3.4318182,389,643341,0,Rated for 3+,0,Shopping,79,53,44,44,167,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stormshot: Skull Isle Odyssey,3.4356437,129036,9980184,1,Rated for 12+,0,Strategy,42090,1275,7652,14030,63773,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
All Video Downloader HD App,3.4653466,897,505445,0,Rated for 3+,1,Video Players & Editors,277,44,31,31,492,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
