title,score,ratings,maxInstalls,offersIAP,contentRating,adSupported,genre,n_stars_1,n_stars_2,n_stars_3,n_stars_4,n_stars_5,allow Wi-Fi Multicast reception,draw over other apps,view network connections,measure app storage space,retrieve system internal state,reroute outgoing calls,close other apps,access USB storage filesystem,add or modify calendar events and send email to guests without owners' knowledge,read your contacts,disable your screen lock,view Wi-Fi connections,read your Web bookmarks and history,run at startup,add words to user-defined dictionary,change your audio settings,read Google service configuration,delete all app cache data,precise location (GPS and network-based),read terms you added to the dictionary,full network access,connect and disconnect from Wi-Fi,toggle sync on and off,send SMS messages,control Near Field Communication,send sticky broadcast,pair with Bluetooth devices,take pictures and videos,body sensors (like heart rate monitors),change system display settings,record audio,set wallpaper,read sync settings,Google Play license check,access extra location provider commands,mock location sources for testing,read phone status and identity,modify your contacts,access Bluetooth settings,expand/collapse status bar,change network connectivity,control vibration,create accounts and set passwords,read calendar events plus confidential information,enable app debugging,prevent device from sleeping,read battery statistics,set an alarm,modify system settings,read sensitive log data,control flashlight,modify phone state,add or remove accounts,approximate location (network-based),use/find accounts on the device,read/edit your text messages (SMS or MMS),receive text messages (SMS/MMS),retrieve/reorder running apps,read/write call log,read/modify/delete the contents of your USB storage,install/uninstall shortcuts,read/modify own contact card,directly call phone/anyphone numbers
fuboTV: Watch Live Sports & TV,2.223301,311,1606520,0,Teen,1,Sports,168,47,11,17,63,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
garry's mod apk 2023,2.9047618,26,3659,0,Everyone,1,Comics,13,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dating.com™: Chat, Meet People",2.9800222,89299,18628100,1,Mature 17+,0,Dating,34584,7919,5645,6937,34191,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AstroSoul: Astro Palm Reader,3.0309734,12318,3062318,1,Everyone,1,Lifestyle,5559,377,268,323,5772,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Duo Mobile,3.06777,44789,32696460,0,Everyone,0,Business,17681,2502,2538,3208,18846,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camo Sniper,3.116505,4856,4755015,1,Teen,1,Casual,1880,233,233,419,2066,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice Lock Screen: Pin Pattern,3.1527777,593,903893,0,Everyone,1,Personalization,237,15,31,23,276,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Facebook,3.1561174,134246191,8746599423,1,Teen,1,Social,52548153,4875079,6524700,9666927,60631313,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1
Filters for Selfies,3.18,3338,1485871,0,Mature 17+,1,Beauty,1049,262,333,333,1335,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gangster City: Mafia Crime,3.1862745,3046,4991285,0,Teen,1,Action,1160,117,117,266,1363,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
